,날짜,품목,품질,거래단위,최저가,최고가,평균가,전일평균대비등락,전7일평균대비등락,전년동월동일평균대비등락
0,2017-06-10,양파,특,1kg,1197,1500,1219,-146,"1,365(89.0%)","1,222(99.0%)"
1,2017-06-10,양파,상,1kg,1083,1197,1138,-40,"1,178(96.0%)","1,111(102.0%)"
2,2017-06-10,양파,보통,1kg,845,1083,968,-65,"1,033(93.0%)",947(102.0%)
3,2017-06-10,양파,하,1kg,300,845,681,-20,701(97.0%),556(122.0%)
4,2017-06-10,양파,특,20kg,23300,23700,23449,-710,"24,159(97.0%)","23,351(100.0%)"
5,2017-06-10,양파,상,20kg,19000,23300,20194,-2130,"22,324(90.0%)","21,519(93.0%)"
6,2017-06-10,양파,보통,20kg,16900,19000,17875,-1478,"19,353(92.0%)","17,798(100.0%)"
7,2017-06-10,양파,하,20kg,8000,16900,14204,-983,"15,187(93.0%)","11,210(126.0%)"
8,2017-06-10,양파 자주색,특,1kg,760,817,769,-95,864(89.0%),839(91.0%)
9,2017-06-10,양파 자주색,상,1kg,698,760,722,-95,817(88.0%),723(99.0%)
10,2017-06-10,양파 자주색,보통,1kg,633,698,665,-64,729(91.0%),648(102.0%)
11,2017-06-10,양파 자주색,하,1kg,410,633,570,-71,641(88.0%),516(110.0%)
12,2017-06-10,양파 자주색,특,12kg,10300,10300,10300,0,"10,300(100.0%)","10,579(97.0%)"
13,2017-06-10,양파 자주색,상,12kg,9300,10300,9521,0,"9,521(100.0%)","9,206(103.0%)"
14,2017-06-10,양파 자주색,보통,12kg,8300,9300,8591,0,"8,591(100.0%)","7,611(112.0%)"
15,2017-06-10,양파 자주색,하,12kg,5000,8300,7497,0,"7,497(100.0%)","5,655(132.0%)"
16,2017-06-10,양파 자주색,특,20kg,15200,16333,15336,-1955,"17,291(88.0%)","16,771(91.0%)"
17,2017-06-10,양파 자주색,상,20kg,13950,15200,14416,-1922,"16,338(88.0%)","14,422(99.0%)"
18,2017-06-10,양파 자주색,보통,20kg,12667,13950,13286,-1247,"14,533(91.0%)","12,939(102.0%)"
19,2017-06-10,양파 자주색,하,20kg,8200,12667,11373,-1362,"12,735(89.0%)","10,324(110.0%)"
20,2017-06-12,양파,특,1kg,1193,1867,1215,-4,"1,219(99.0%)","1,236(98.0%)"
21,2017-06-12,양파,상,1kg,1000,1193,1115,-23,"1,138(97.0%)","1,129(98.0%)"
22,2017-06-12,양파,보통,1kg,813,1000,924,-44,968(95.0%),966(95.0%)
23,2017-06-12,양파,하,1kg,275,813,653,-28,681(95.0%),593(110.0%)
24,2017-06-12,양파,특,20kg,22300,24200,22845,-604,"23,449(97.0%)","23,592(96.0%)"
25,2017-06-12,양파,상,20kg,19500,22300,20626,432,"20,194(102.0%)","21,450(96.0%)"
26,2017-06-12,양파,보통,20kg,16200,19500,18068,193,"17,875(101.0%)","18,250(99.0%)"
27,2017-06-12,양파,하,20kg,3000,16200,13120,-1084,"14,204(92.0%)","12,152(107.0%)"
28,2017-06-12,양파 자주색,특,1kg,858,887,878,109,769(114.0%),826(106.0%)
29,2017-06-12,양파 자주색,상,1kg,733,858,780,58,722(108.0%),717(108.0%)
30,2017-06-12,양파 자주색,보통,1kg,660,733,689,24,665(103.0%),641(107.0%)
31,2017-06-12,양파 자주색,하,1kg,417,660,637,67,570(111.0%),527(120.0%)
32,2017-06-12,양파 자주색,특,12kg,10300,10500,10420,120,"10,300(101.0%)","10,605(98.0%)"
33,2017-06-12,양파 자주색,상,12kg,9200,10300,9640,119,"9,521(101.0%)","9,266(104.0%)"
34,2017-06-12,양파 자주색,보통,12kg,8500,9200,8937,346,"8,591(104.0%)","7,718(115.0%)"
35,2017-06-12,양파 자주색,하,12kg,5000,8500,8059,562,"7,497(107.0%)","6,054(133.0%)"
36,2017-06-12,양파 자주색,특,20kg,17167,17733,17528,2192,"15,336(114.0%)","16,509(106.0%)"
37,2017-06-12,양파 자주색,상,20kg,14667,17167,15627,1211,"14,416(108.0%)","14,298(109.0%)"
38,2017-06-12,양파 자주색,보통,20kg,13200,14667,13764,478,"13,286(103.0%)","12,792(107.0%)"
39,2017-06-12,양파 자주색,하,20kg,8333,13200,12742,1369,"11,373(112.0%)","10,523(121.0%)"
40,2017-06-13,양파,특,1kg,1192,1667,1229,14,"1,215(101.0%)","1,239(99.0%)"
41,2017-06-13,양파,상,1kg,1087,1192,1141,26,"1,115(102.0%)","1,136(100.0%)"
42,2017-06-13,양파,보통,1kg,835,1087,949,25,924(102.0%),971(97.0%)
43,2017-06-13,양파,하,1kg,300,835,684,31,653(104.0%),620(110.0%)
44,2017-06-13,양파,특,20kg,22500,22800,22565,-280,"22,845(98.0%)","23,558(95.0%)"
45,2017-06-13,양파,상,20kg,18200,22500,19436,-1190,"20,626(94.0%)","21,251(91.0%)"
46,2017-06-13,양파,보통,20kg,15600,18200,16999,-1069,"18,068(94.0%)","18,451(92.0%)"
47,2017-06-13,양파,하,20kg,3600,15600,12146,-974,"13,120(92.0%)","12,747(95.0%)"
48,2017-06-13,양파 자주색,특,1kg,800,1100,838,-40,878(95.0%),843(99.0%)
49,2017-06-13,양파 자주색,상,1kg,715,800,744,-36,780(95.0%),730(101.0%)
50,2017-06-13,양파 자주색,보통,1kg,685,715,692,3,689(100.0%),655(105.0%)
51,2017-06-13,양파 자주색,하,1kg,525,685,659,22,637(103.0%),553(119.0%)
52,2017-06-13,양파 자주색,특,12kg,10000,10000,10000,-420,"10,420(95.0%)","10,787(92.0%)"
53,2017-06-13,양파 자주색,상,12kg,9500,10000,9651,11,"9,640(100.0%)","9,554(101.0%)"
54,2017-06-13,양파 자주색,보통,12kg,9200,9500,9350,413,"8,937(104.0%)","8,059(116.0%)"
55,2017-06-13,양파 자주색,하,12kg,7800,9200,8239,180,"8,059(102.0%)","6,733(122.0%)"
56,2017-06-13,양파 자주색,특,20kg,16000,22000,16813,-715,"17,528(95.0%)","16,851(99.0%)"
57,2017-06-13,양파 자주색,상,20kg,14300,16000,14906,-721,"15,627(95.0%)","14,563(102.0%)"
58,2017-06-13,양파 자주색,보통,20kg,13700,14300,13839,75,"13,764(100.0%)","13,065(105.0%)"
59,2017-06-13,양파 자주색,하,20kg,10500,13700,13143,401,"12,742(103.0%)","11,058(118.0%)"
60,2017-06-14,양파,특,1kg,1180,1667,1204,-25,"1,229(97.0%)","1,248(96.0%)"
61,2017-06-14,양파,상,1kg,1040,1180,1113,-28,"1,141(97.0%)","1,143(97.0%)"
62,2017-06-14,양파,보통,1kg,840,1040,929,-20,949(97.0%),971(95.0%)
63,2017-06-14,양파,하,1kg,350,840,705,21,684(103.0%),644(109.0%)
64,2017-06-14,양파,특,20kg,21050,22600,21872,-693,"22,565(96.0%)","23,456(93.0%)"
65,2017-06-14,양파,상,20kg,18700,21050,20059,623,"19,436(103.0%)","20,997(95.0%)"
66,2017-06-14,양파,보통,20kg,16200,18700,17534,535,"16,999(103.0%)","18,058(97.0%)"
67,2017-06-14,양파,하,20kg,6000,16200,13015,869,"12,146(107.0%)","12,639(102.0%)"
68,2017-06-14,양파 자주색,특,1kg,875,892,879,41,838(104.0%),841(104.0%)
69,2017-06-14,양파 자주색,상,1kg,775,875,813,69,744(109.0%),740(109.0%)
70,2017-06-14,양파 자주색,보통,1kg,705,775,746,54,692(107.0%),670(111.0%)
71,2017-06-14,양파 자주색,하,1kg,445,705,619,-40,659(93.0%),593(104.0%)
72,2017-06-14,양파 자주색,특,12kg,10500,10500,10500,500,"10,000(105.0%)","10,703(98.0%)"
73,2017-06-14,양파 자주색,상,12kg,10200,10500,10436,785,"9,651(108.0%)","9,866(105.0%)"
74,2017-06-14,양파 자주색,보통,12kg,9200,10200,9561,211,"9,350(102.0%)","8,454(113.0%)"
75,2017-06-14,양파 자주색,하,12kg,6600,9200,8729,490,"8,239(105.0%)","7,233(120.0%)"
76,2017-06-14,양파 자주색,특,20kg,17500,17833,17541,728,"16,813(104.0%)","16,821(104.0%)"
77,2017-06-14,양파 자주색,상,20kg,15500,17500,16232,1326,"14,906(108.0%)","14,777(109.0%)"
78,2017-06-14,양파 자주색,보통,20kg,14100,15500,14925,1086,"13,839(107.0%)","13,377(111.0%)"
79,2017-06-14,양파 자주색,하,20kg,8900,14100,12409,-734,"13,143(94.0%)","11,846(104.0%)"
80,2017-06-15,양파,특,1kg,1142,1667,1170,-34,"1,204(97.0%)","1,254(93.0%)"
81,2017-06-15,양파,상,1kg,990,1142,1062,-51,"1,113(95.0%)","1,146(92.0%)"
82,2017-06-15,양파,보통,1kg,785,990,888,-41,929(95.0%),973(91.0%)
83,2017-06-15,양파,하,1kg,350,785,674,-31,705(95.0%),676(99.0%)
84,2017-06-15,양파,특,20kg,20450,24000,21021,-851,"21,872(96.0%)","23,235(90.0%)"
85,2017-06-15,양파,상,20kg,18000,20450,19341,-718,"20,059(96.0%)","20,856(92.0%)"
86,2017-06-15,양파,보통,20kg,15600,18000,16988,-546,"17,534(96.0%)","18,320(92.0%)"
87,2017-06-15,양파,하,20kg,6100,15600,13461,446,"13,015(103.0%)","13,446(100.0%)"
88,2017-06-15,양파 자주색,특,1kg,950,1000,968,89,879(110.0%),827(117.0%)
89,2017-06-15,양파 자주색,상,1kg,800,950,867,54,813(106.0%),764(113.0%)
90,2017-06-15,양파 자주색,보통,1kg,657,800,714,-32,746(95.0%),698(102.0%)
91,2017-06-15,양파 자주색,하,1kg,400,657,580,-39,619(93.0%),612(94.0%)
92,2017-06-15,양파 자주색,특,12kg,11000,11000,11000,500,"10,500(104.0%)","10,520(104.0%)"
93,2017-06-15,양파 자주색,상,12kg,9600,11000,10106,-330,"10,436(96.0%)","9,867(102.0%)"
94,2017-06-15,양파 자주색,보통,12kg,6500,9600,8187,-1374,"9,561(85.0%)","8,776(93.0%)"
95,2017-06-15,양파 자주색,하,12kg,5600,6500,6059,-2670,"8,729(69.0%)","7,679(78.0%)"
96,2017-06-15,양파 자주색,특,20kg,19000,20000,19359,1818,"17,541(110.0%)","16,529(117.0%)"
97,2017-06-15,양파 자주색,상,20kg,16000,19000,17316,1084,"16,232(106.0%)","15,249(113.0%)"
98,2017-06-15,양파 자주색,보통,20kg,13133,16000,14277,-648,"14,925(95.0%)","13,927(102.0%)"
99,2017-06-15,양파 자주색,하,20kg,8000,13133,11589,-820,"12,409(93.0%)","12,236(94.0%)"
100,2017-06-16,양파,특,1kg,1142,1667,1185,15,"1,170(101.0%)","1,234(96.0%)"
101,2017-06-16,양파,상,1kg,973,1142,1047,-15,"1,062(98.0%)","1,125(93.0%)"
102,2017-06-16,양파,보통,1kg,808,973,889,1,888(100.0%),949(93.0%)
103,2017-06-16,양파,하,1kg,400,808,665,-9,674(98.0%),683(97.0%)
104,2017-06-16,양파,특,20kg,19600,20700,20167,-854,"21,021(95.0%)","22,652(89.0%)"
105,2017-06-16,양파,상,20kg,17750,19600,18614,-727,"19,341(96.0%)","20,330(91.0%)"
106,2017-06-16,양파,보통,20kg,15800,17750,17027,39,"16,988(100.0%)","17,803(95.0%)"
107,2017-06-16,양파,하,20kg,6200,15800,12854,-607,"13,461(95.0%)","13,522(95.0%)"
108,2017-06-16,양파 자주색,특,1kg,950,958,954,-14,968(98.0%),866(110.0%)
109,2017-06-16,양파 자주색,상,1kg,800,950,881,14,867(101.0%),791(111.0%)
110,2017-06-16,양파 자주색,보통,1kg,650,800,725,11,714(101.0%),706(102.0%)
111,2017-06-16,양파 자주색,하,1kg,550,650,646,66,580(111.0%),618(104.0%)
112,2017-06-16,양파 자주색,특,12kg,11300,11300,11300,300,"11,000(102.0%)","10,420(108.0%)"
113,2017-06-16,양파 자주색,상,12kg,10600,11300,10846,740,"10,106(107.0%)","9,813(110.0%)"
114,2017-06-16,양파 자주색,보통,12kg,8900,10600,9617,1430,"8,187(117.0%)","8,870(108.0%)"
115,2017-06-16,양파 자주색,하,12kg,6600,8900,8035,1976,"6,059(132.0%)","7,680(104.0%)"
116,2017-06-16,양파 자주색,특,20kg,19000,19167,19159,-200,"19,359(98.0%)","17,311(110.0%)"
117,2017-06-16,양파 자주색,상,20kg,16000,19000,17588,272,"17,316(101.0%)","15,806(111.0%)"
118,2017-06-16,양파 자주색,보통,20kg,13000,16000,14487,210,"14,277(101.0%)","14,104(102.0%)"
119,2017-06-16,양파 자주색,하,20kg,11000,13000,12942,1353,"11,589(111.0%)","12,332(104.0%)"
120,2017-06-17,양파,특,1kg,1150,1500,1183,-2,"1,185(99.0%)","1,204(98.0%)"
121,2017-06-17,양파,상,1kg,963,1150,1035,-12,"1,047(98.0%)","1,103(93.0%)"
122,2017-06-17,양파,보통,1kg,800,963,900,11,889(101.0%),925(97.0%)
123,2017-06-17,양파,하,1kg,350,800,666,1,665(100.0%),677(98.0%)
124,2017-06-17,양파,특,20kg,21000,23500,21293,1126,"20,167(105.0%)","21,987(96.0%)"
125,2017-06-17,양파,상,20kg,18300,21000,18951,337,"18,614(101.0%)","19,712(96.0%)"
126,2017-06-17,양파,보통,20kg,16100,18300,17417,390,"17,027(102.0%)","17,415(100.0%)"
127,2017-06-17,양파,하,20kg,5000,16100,14849,1995,"12,854(115.0%)","13,133(113.0%)"
128,2017-06-17,양파 자주색,특,1kg,1008,1008,1008,54,954(105.0%),881(114.0%)
129,2017-06-17,양파 자주색,상,1kg,880,1008,950,69,881(107.0%),801(118.0%)
130,2017-06-17,양파 자주색,보통,1kg,755,880,821,96,725(113.0%),705(116.0%)
131,2017-06-17,양파 자주색,하,1kg,600,755,734,88,646(113.0%),619(118.0%)
